Weight,Group
0.4958,Location_A_Proportion
0.4817,Location_A_Proportion
0.4367,Location_A_Proportion
0.5292,Location_A_Proportion
0.1794,Location_A_Proportion
0.51,Location_A_Proportion
0.4764,Location_A_Proportion
0.142,Location_A_Proportion
0.3032,Location_A_Proportion
0.6892,Location_A_Proportion
0.2846,Location_B_Proportion
0.2025,Location_B_Proportion
0.1504,Location_B_Proportion
0.1329,Location_B_Proportion
0.3596,Location_B_Proportion
0.1679,Location_B_Proportion
0.0866,Location_B_Proportion
0.4889,Location_B_Proportion
0.4631,Location_B_Proportion
0.0948,Location_B_Proportion
0.2196,Location_C_Proportion
0.3158,Location_C_Proportion
0.4129,Location_C_Proportion
0.3379,Location_C_Proportion
0.461,Location_C_Proportion
0.3221,Location_C_Proportion
0.4371,Location_C_Proportion
0.369,Location_C_Proportion
0.2337,Location_C_Proportion
0.216,Location_C_Proportion