Frog_Number,Location,Mean,SD,Color_Name
1,Broth,0.2921084,0.05735041,blue
1,Bd,0.7078916,0.05735041,red
2,Broth,0.5729169,0.2948958,blue
2,Bd,0.4270831,0.2948958,red
3,Broth,0.5682128,0.1580417,blue
3,Bd,0.4317872,0.1580417,red
4,Broth,0.6324569,0.1688117,blue
4,Bd,0.3675431,0.1688117,red
5,Broth,0.3745752,0.3367909,blue
5,Bd,0.6254248,0.3367909,red
6,Broth,0.1932367,NA,blue
6,Bd,0.7995169,NA,red
7,Broth,0.4429493,0.1603778,blue
7,Broth,0.5570507,0.1603778,blue
9,Broth,0.5579916,0.1836948,blue
9,Bd,0.4666799,0.1836948,red
10,Broth,0.7191287,0.08792279,blue
10,Broth,0.2808713,0.08792279,blue
11,Broth,0.1897359,0.1831334,blue
11,Broth,0.8102641,0.1831334,blue
12,Broth,0.4607258,0.2302544,blue
12,Bd,0.5392742,0.2302544,red
13,Broth,0.7007673,NA,blue
13,Bd,0.2992327,NA,red
14,Broth,0.6468751,0.3927821,blue
14,Bd,0.3531249,0.3927821,red