Weight,Location,Group,Frog_Number,Color_Name,Trial_Number
0.33266129,Broth,E,1,chartreuse4,1
0.66733871,Bd,E,1,darkviolet,1
0.888888889,Broth,E,2,chartreuse4,1
0.111111111,Bd,E,2,darkviolet,1
0.401734104,Broth,E,3,chartreuse4,1
0.598265896,Bd,E,3,darkviolet,1
0.751824818,Broth,E,4,chartreuse4,1
0.248175182,Bd,E,4,darkviolet,1
0,Broth,E,5,chartreuse4,1
1,Bd,E,5,darkviolet,1
0.295511222,Broth,C,7,chartreuse4,1
0.704488778,Broth,C,7,chartreuse4,1
0.729468599,Broth,E,9,chartreuse4,1
0.270531401,Bd,E,9,darkviolet,1
0.060240964,Broth,C,11,chartreuse4,1
0.939759036,Broth,C,11,chartreuse4,1
0.657108722,Broth,E,12,chartreuse4,1
0.342891278,Bd,E,12,darkviolet,1
0.798179059,Broth,E,14,chartreuse4,1
0.201820941,Bd,E,14,darkviolet,1
0.251555556,Broth,E,1,chartreuse4,2
0.748444444,Bd,E,1,darkviolet,2
0.305,Broth,E,2,chartreuse4,2
0.695,Bd,E,2,darkviolet,2
0.586715867,Broth,E,3,chartreuse4,2
0.413284133,Bd,E,3,darkviolet,2
0.513089005,Broth,E,4,chartreuse4,2
0.486910995,Bd,E,4,darkviolet,2
0.652406417,Broth,E,5,chartreuse4,2
0.347593583,Bd,E,5,darkviolet,2
0.193236715,Broth,E,6,chartreuse4,2
0.799516908,Bd,E,6,darkviolet,2
0.613712375,Broth,C,7,chartreuse4,2
0.386287625,Broth,C,7,chartreuse4,2
0.364130435,Broth,E,9,chartreuse4,2
0.635869565,Bd,E,9,darkviolet,2
0.656957929,Broth,C,10,chartreuse4,2
0.343042071,Broth,C,10,chartreuse4,2
0.319230769,Broth,C,11,chartreuse4,2
0.680769231,Broth,C,11,chartreuse4,2
0.517751479,Broth,E,12,chartreuse4,2
0.482248521,Bd,E,12,darkviolet,2
0.700767263,Broth,E,13,chartreuse4,2
0.299232737,Bd,E,13,darkviolet,2
0.200941915,Broth,E,14,chartreuse4,2
0.799058085,Bd,E,14,darkviolet,2
0.517241379,Broth,E,1,chartreuse4,3
0.482758621,Bd,E,1,darkviolet,3
0.524861878,Broth,E,2,chartreuse4,3
0.475138122,Bd,E,2,darkviolet,3
0.716188525,Broth,E,3,chartreuse4,3
0.283811475,Bd,E,3,darkviolet,3
0.471319312,Broth,E,5,chartreuse4,3
0.528680688,Bd,E,5,darkviolet,3
0.796352584,Broth,E,6,chartreuse4,3
0.203647416,Bd,E,6,darkviolet,3
0.419624217,Broth,C,7,chartreuse4,3
0.580375783,Broth,C,7,chartreuse4,3
0.506361323,Broth,E,9,chartreuse4,3
0.493638677,Bd,E,9,darkviolet,3
0.781299525,Broth,C,10,chartreuse4,3
0.218700475,Broth,C,10,chartreuse4,3
0.62962963,Broth,C,11,chartreuse4,3
0.37037037,Broth,C,11,chartreuse4,3
0.207317073,Broth,E,12,chartreuse4,3
0.792682927,Bd,E,12,darkviolet,3
0.760697306,Broth,E,13,chartreuse4,3
0.239302694,Bd,E,13,darkviolet,3
0.941504178,Broth,E,14,chartreuse4,3
0.058495822,Bd,E,14,darkviolet,3