Weight,Location,Group,Frog_Number
0.07864633,Control,E,1
0.763584366,Neutral,E,1
0.157769304,Chytrid,E,1
0.181303116,Control,E,2
0.796033994,Neutral,E,2
0.02266289,Chytrid,E,2
0.133014354,Control,E,3
0.668899522,Neutral,E,3
0.198086124,Chytrid,E,3
0.401224263,Control,E,4
0.466332777,Neutral,E,4
0.13244296,Chytrid,E,4
0,Control,E,5
0.968,Neutral,E,5
0.032,Chytrid,E,5
0.150667514,Control 1,C,7
0.490146217,Neutral,C,7
0.359186268,Control 2,C,7
0.070792311,Control,E,9
0.902953586,Neutral,E,9
0.026254102,Chytrid,E,9
0.004446421,Control 1,C,11
0.926189418,Neutral,C,11
0.069364162,Control 2,C,11
0.307606264,Control,E,12
0.531879195,Neutral,E,12
0.160514541,Chytrid,E,12
0.239090909,Control,E,14
0.700454545,Neutral,E,14
0.060454545,Chytrid,E,14